,Region Display,Region ID,Region Name,communitydistrict_index,med_r_1f_18,med_r_4f_18,med_r_cn_18,med_r_ot_18,rent_asking_med_18,crime_all_rt_19,shd_ph_props_20,2010 Population_PRELOCKDOWN,PAPERTONSCOLLECTED_PERCAPITA_PRELOCKDOWN,MGPTONSCOLLECTED_PERCAPITA_PRELOCKDOWN,REFUSETONSCOLLECTED_PERCAPITA_PRELOCKDOWN,2010 Population_POSTLOCKDOWN,PAPERTONSCOLLECTED_PERCAPITA_POSTLOCKDOWN,MGPTONSCOLLECTED_PERCAPITA_POSTLOCKDOWN,REFUSETONSCOLLECTED_PERCAPITA_POSTLOCKDOWN,yearly_ind_benefi_per_1000_2019,yearly_household_benefi_per_1000_2019,yearly_ind_benefi_per_1000_2020,yearly_household_benefi_per_1000_2020
10,BX 11,111,Morris Park/Bronxdale,1__11,3500000.0,660000.0,743580.0,245450.0,2380.0,16.0,37.0,120511,0.04751682419032286,0.041384603895080134,0.4911418874625553,120511,0.015450871704657669,0.014606135539494318,0.1544058218751815,1334.6499489673142,840.0146044759401,1044.502161628399,657.5914231895842
11,BX 12,112,Williamsbridge/Baychester,1__12,2012500.0,775000.0,544730.0,239750.0,2100.0,10.2,21.0,190020,0.06266077255025787,0.06881012524997368,0.6500599936848752,190020,0.02185401536680349,0.02491842963898537,0.21843332280812544,906.5466792969162,622.797600252605,706.4256394063782,487.6960319966319
12,BK 01,201,Greenpoint/Williamsburg,2__01,475000.0,280000.0,433000.0,183890.0,2000.0,24.0,20.0,91497,0.034045925003005566,0.03999256806234084,0.5478605855929702,91497,0.014168770560783412,0.01544531514694471,0.2029891690437938,1848.825644556652,998.5464004284294,1468.8350437719268,801.2065969376047
13,BK 02,202,Fort Greene/Brooklyn Heights,2__02,437000.0,233330.0,206250.0,189920.0,1600.0,17.6,23.0,52246,0.051659457183325035,0.0756115300692876,0.7419323967385062,52246,0.02097194043563144,0.028201202005895182,0.2647150021054243,1585.2888259388278,871.5308348964514,1260.3644298128088,700.0535926195308
14,BK 03,203,Bedford Stuyvesant,2__03,449950.0,221670.0,280000.0,167740.0,1950.0,18.5,27.0,79762,0.041645144304305305,0.05954464531982648,0.6260813419924276,79762,0.01889120132393872,0.025984804794262937,0.2273175196208721,1993.0041874576864,1084.3258694616484,1600.423760688047,880.5320829467666
15,BK 04,204,Bushwick,2__04,442500.0,218330.0,190000.0,177780.0,1750.0,15.4,26.0,146441,0.04208862272177874,0.06131342998204053,0.7094939258814131,146441,0.018098756495790114,0.024588059354962062,0.2456006173134573,1447.2859376813876,803.3679092603846,1125.1152341215916,631.4829863221365
16,BK 05,205,East New York/Starrett City,2__05,385000.0,247500.0,,134210.0,1700.0,13.4,11.0,128200,0.04058346333853355,0.06403978159126365,0.6981053042121684,128200,0.017970358814352574,0.02598439937597504,0.242921216848674,1606.3494539781589,878.0733229329172,1258.2215288611544,694.8517940717627
17,BK 06,206,Park Slope/Carroll Gardens,2__06,387500.0,235000.0,250230.0,190630.0,1750.0,15.6,3.0,83268,0.04379593601383484,0.06051544410818081,0.6844946438007398,83268,0.020195032905798143,0.025202959119950036,0.2458615554594802,1786.3765191910456,967.0341547773454,1408.2240476533602,770.8483451025604
18,BK 07,207,Sunset Park,2__07,457000.0,275000.0,175000.0,187960.0,1700.0,12.9,1.0,139286,0.05229384144853036,0.08188044742472324,0.6834197263185101,139286,0.02176098100311589,0.03350731588242895,0.2338784946082162,1236.5707967778528,707.3359849518257,984.9015694326781,567.2285800439382
19,BK 08,208,Crown Heights/Prospect Heights,2__08,787500.0,328330.0,646400.0,187500.0,2000.0,9.1,5.0,101731,0.08489545959442056,0.09217347711120503,0.5892569619879879,101731,0.028962656417414558,0.034452625060207805,0.20256952158142547,603.5721658098319,362.7704436209218,502.3542479676794,301.4518681621138
20,BK 09,209,South Crown Heights/Lefferts Gardens,2__09,405000.0,230000.0,156750.0,147220.0,1650.0,10.2,23.0,172298,0.03264286294675504,0.05075914984503594,0.5691766590442141,172298,0.013329812301941985,0.021151725498845024,0.19682468746009812,1152.0563210252005,635.4687808332076,926.3079083912756,512.902065026872
21,BK 10,210,Bay Ridge/Dyker Heights,2__10,490000.0,291250.0,449500.0,189350.0,1850.0,9.2,8.0,120392,0.06699033158349392,0.08703734467406471,0.5329764436175161,120392,0.022137683567014423,0.03503305867499502,0.1982033689946176,563.218486278158,345.59605289388,466.9164064057412,284.877732739717
22,BK 11,211,Bensonhurst,2__11,500000.0,275000.0,190000.0,188540.0,1650.0,9.5,7.0,113232,0.06758160237388723,0.07674685601243465,0.6771407376006783,113232,0.02166172106824926,0.032994206584711035,0.24742917196552205,796.7535678960013,466.6790306627102,646.8224530168151,378.8593330507277
23,BK 12,212,Borough Park,2__12,400000.0,237590.0,187000.0,163330.0,1750.0,12.7,4.0,152344,0.06372289030089798,0.09479401879955887,0.62572927059812,152344,0.02303668014493515,0.036818647271963455,0.2369112009662343,931.9894449403979,511.46090426928527,751.9101507115475,414.745575802132
24,MN 01,301,Financial District,3__01,1840000.0,735620.0,962000.0,349480.0,2950.0,11.4,35.0,173083,0.0952335006904202,0.07140158190001329,0.7926913677253109,173083,0.036076911077344384,0.028915606963133306,0.2653229953259419,1149.3214238255634,455.2786813263001,892.4388877012763,362.17883905409536
25,MN 02,302,Greenwich Village/Soho,3__02,3647220.0,1075000.0,1315000.0,425340.0,3070.0,20.9,8.0,99617,0.1366543862995272,0.10255076944698197,0.6423853358362529,99617,0.041468825602055885,0.03805073431241656,0.20938695202626054,513.4264232008593,346.6576989871207,415.3006013029905,282.5421363823444
26,MN 03,303,Lower East Side/Chinatown,3__03,994500.0,500000.0,750000.0,307810.0,2500.0,18.1,38.0,152985,0.06337287969408767,0.0612563323201621,0.6901258293296728,152985,0.02438082164918129,0.02566199300585025,0.2397378827989672,1098.388730921332,591.8292643069582,868.3857894564827,478.58286760139885
